trade_date,top_n,cash,holdings_value,equity,turnover,gross_return,net_return,cost,benchmark_return
20230713,10,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0
20230714,10,0.0,1021657.93607958,1021657.93607958,0.9992505620784411,0.02240737400113879,0.021657936079579887,749.4379215588309,0.00017437820817223226
20230717,10,0.0,1015841.3520548033,1015841.3520548033,0.0,-0.00569327934464714,-0.00569327934464714,0.0,-0.00818849936935484
20230718,10,0.0,1016953.4697273402,1016953.4697273402,0.0,0.0010947749570218157,0.0010947749570218157,0.0,-0.0031639634400812966
20230719,10,0.0,1028514.182939149,1028514.182939149,0.0,0.011367986398540308,0.011367986398540308,0.0,-0.0010565665716188999
20230720,10,0.0,1017208.5161092937,1017208.5161092937,0.0,-0.01099223230694546,-0.01099223230694546,0.0,-0.007055996724685154
20230721,10,1.4551915228366852e-10,1005060.2158274713,1005060.2158274715,1.992081790171062,-0.00945143480144417,-0.011942782713113775,2534.220312341485,-0.0004667213746620824
20230724,10,3.2311742677852644e-27,1016710.431476537,1016710.431476537,1.4467799284336123e-16,0.01159155985442517,0.01159155985442517,1.0905757103447552e-13,-0.004366664835121714
20230725,10,8.96831017167883e-44,1029958.5211352413,1029958.5211352413,3.1756856262100145e-33,0.013030346939063575,0.013030346939063575,2.4215645274433655e-30,0.028879873205787554
20230726,10,1.493523666686674e-59,1009265.2516921208,1009265.2516921208,8.70092221778623e-50,-0.020091361951461773,-0.020091361951461773,6.721191734957904e-47,-0.002069543137082075
20230727,10,0.0,1006131.8401664774,1006131.8401664774,1.4787038005241613e-65,-0.0031046461972112915,-0.0031046461972112915,1.119303272560585e-62,-0.0011945187382031985
20230728,10,5.820766091346741e-11,1008513.6970697049,1008513.697069705,1.9975867616894314,0.004865573316536587,0.0023673407481403785,2513.5513312040803,0.023163452095916304
20230731,10,0.0,1006308.4243062255,1006308.4243062255,3.3317532188471495e-16,-0.0021866562347017116,-0.0021866562347017116,3.9110656738488726e-13,0.005483080080193492
20230801,10,3.587324068671532e-43,1009665.2707256919,1009665.2707256919,6.284977146467209e-33,0.003335802760252804,0.003335802760252804,7.909736679667404e-30,-0.0041421250739887006
20230802,10,-5.974094666746696e-59,1011407.3701550371,1011407.3701550371,5.296804241876732e-49,0.0017254227513372467,0.0017254227513372467,4.893783968717925e-46,-0.007030013249121336
20230803,10,-4.496036648702201e-59,1017831.7955217152,1017831.7955217152,1.4639493420313332e-65,0.006351966137732701,0.006351966137732701,2.5911360196121883e-62,0.008838747624307475
